code;name;description
3054;Rettungswache;'Rettungswache' ist ein Gebäude des Rettungsdienstes, in dem sich die Besatzungen der Rettungsdienstfahrzeuge in ihrer einsatzfreien Zeit aufhalten. Hier sind auch die Fahrzeuge und Geräte untergebracht.
3060;Gebäude für soziale Zwecke;'Gebäude für soziale Zwecke' ist ein Gebäude, in dem ältere Menschen, Obdachlose, Jugendliche oder Kinder betreut werden.
3061;Jugendfreizeitheim;'Jugendfreizeitheim' ist ein Gebäude der offenen Kinder- und Jugendarbeit.
3062;Freizeit-, Vereinsheim, Dorfgemeinschafts-, Bürgerhaus;'Freizeit-, Vereinsheim, Dorfgemeinschafts-, Bürgerhaus' ist ein Gebäude zur gemeinschaftlichen Nutzung unterschiedlicher sozialer Gruppen.
3063;Seniorenfreizeitstätte;'Seniorenfreizeitstätte' ist ein Gebäude zur Ausübung seniorengerechter Freizeitaktivitäten.
3064;Obdachlosenheim;'Obdachlosenheim' ist ein Gebäude, in dem Obdachlose untergebracht sind und betreut werden.
3065;Kinderkrippe, Kindergarten, Kindertagesstätte;'Kinderkrippe, Kindergarten, Kindertagesstätte' ist ein Gebäude, in dem Kinder im Vorschulalter betreut werden.
3066;Asylbewerberheim;'Asylbewerberheim' ist ein Gebäude, in dem Asylbewerber ohne Aufenthaltsgenehmigung für Deutschland eine gewisse Zeit untergebracht sind.
3070;Gebäude für Sicherheit und Ordnung;'Gebäude für Sicherheit und Ordnung' ist ein Gebäude, das für Personen und Gegenstände dient, die zur Verhütung oder Bekämpfung von Rechtsverletzungen und zum Katastrophenschutz eingesetzt werden, oder zur Unterbringung von Strafgefangenen.
3071;Polizei;'Polizei' ist ein Gebäude für Polizeibedienstete, die in einem bestimmten Gebiet für Sicherheit und Ordnung zuständig sind.
3072;Feuerwehr;'Feuerwehr' ist ein Gebäude der Feuerwehr, in dem Personen und Geräte zur Brandbekämpfung sowie zu anderen Hilfeleistungen untergebracht sind.
3073;Kaserne;'Kaserne' ist ein Gebäude zur ortsfesten Unterbringung von Angehörigen der Bundeswehr und der Polizei sowie deren Ausrüstung.
3074;Schutzbunker;'Schutzbunker' ist ein Gebäude zum Schutz der Zivilbevölkerung vor militärischen Angriffen.
3075;Justizvollzugsanstalt;'Justizvollzugsanstalt' ist ein Gebäude zur Unterbringung von Untersuchungshäftlingen und Strafgefangenen.
3080;Friedhofsgebäude;'Friedhofsgebäude' ist ein Gebäude, das zur Aufrechterhaltung des Friedhofbetriebes dient (z. B. Verwaltung, Leichenhalle, Krematorium).
3081;Trauerhalle;'Trauerhalle' ist ein Gebäude, welches für Bestattungszeremonien bestimmt ist und zur kurzzeitigen Aufbewahrung von Toten dienen kann.
3082;Krematorium;'Krematorium' ist ein Gebäude, in dem Feuerbestattungen durchgeführt werden.
3090;Empfangsgebäude;'Empfangsgebäude' ist ein Gebäude mit Wartesaal, Fahrkarten- und Gepäckschalter zur Abwicklung des Straßen-, Schienen-, Seilbahn-, Luft- und Schiffsverkehrs.
3091;Bahnhofsgebäude;'Bahnhofsgebäude' ist ein Gebäude u. a. mit Wartebereich und Fahrkartenausgabe zur Abwicklung des Bahnverkehrs.
3092;Flughafengebäude;'Flughafengebäude' ist ein Gebäude u. a. mit Wartebereich, Flugticket- und Gepäckschalter zur Abwicklung des Flugverkehrs.
3094;Gebäude zum U-Bahnhof;'Gebäude zum U-Bahnhof' ist ein Gebäude u. a. mit Wartebereich und Fahrkartenausgabe zur Abwicklung des U-Bahn-Verkehrs.
3095;Gebäude zum S-Bahnhof;'Gebäude zum S-Bahnhof' ist ein Gebäude u. a. mit Wartebereich und Fahrkartenausgabe zur Abwicklung des S-Bahn-Verkehrs.
3097;Gebäude zum Busbahnhof;'Gebäude zum Busbahnhof' ist ein Gebäude auf dem Busbahnhof, das zur Abwicklung des Busverkehrs dient.
3098;Empfangsgebäude Schifffahrt;'Empfangsgebäude Schifffahrt' ist ein Gebäude u. a. mit Wartebereich, Fahrticket- und Gepäckschalter zur Abwicklung des Schiffsverkehrs.
3100;Gebäude für öffentliche Zwecke mit Wohnen;'Gebäude für öffentliche Zwecke mit Wohnen' ist ein Gebäude, das der Allgemeinheit dient und auch zum Wohnen genutzt wird.
3200;Gebäude für Erholungszwecke;'Gebäude für Erholungszwecke' ist ein Gebäude zur Freizeitgestaltung mit dem Ziel der Erhaltung und Wiederherstellung der Leistungsfähigkeit des Menschen.
3210;Gebäude für Sportzwecke;'Gebäude für Sportzwecke' ist ein Gebäudes, in dem verschiedene Sportarten ausgeübt werden.
3211;Sport-, Turnhalle;'Sport-, Turnhalle' ist ein Gebäude, das für den Turnunterricht und für sportliche Betätigungen in der Freizeit errichtet und dementsprechend ausgestattet ist.
3212;Gebäude zum Sportplatz;'Gebäude zum Sportplatz' ist ein Gebäude auf einer Fläche, die zur sportlichen Betätigung genutzt wird.
3220;Badegebäude;'Badegebäude' ist ein Gebäude, in dem sich Anlagen zur Erholung und sportlichen Betätigung im Wasser befinden.
3221;Hallenbad;'Hallenbad' ist ein Gebäude mit Schwimmbecken und zugehörigen Einrichtungen (z. B. Umkleidekabinen).
3222;Gebäude im Freibad;'Gebäude im Freibad' ist ein Gebäude, das sich in einer Außenanlage mit Schwimmbecken und zugehörigen Einrichtungen (z. B. Umkleidekabinen) befindet.
3230;Gebäude im Stadion;'Gebäude im Stadion' ist ein Gebäude, das sich in einer großen Anlage für sportliche Aktivitäten und Wettkämpfe befindet.
3240;Gebäude für Kurbetrieb;'Gebäude für Kurbetrieb' ist ein Gebäude, in dem Maßnahmen zur Erholung oder Rehabilitation durchgeführt werden.
3241;Badegebäude für medizinische Zwecke;'Badegebäude für medizinische Zwecke' ist ein Gebäude, in dem Bäder zur therapeutischen Anwendung durchgeführt werden.
3242;Sanatorium;'Sanatorium' ist ein Gebäude mit zugehörigen Einrichtungen, das klimagünstig gelegen ist, unter fachärztlicher Leitung steht und zur Behandlung chronisch Kranker und Genesender bestimmt ist, für die kein Krankenhausaufenthalt in Frage kommt.
3260;Gebäude im Zoo;'Gebäude im Zoo' ist ein Gebäude, das sich in einer parkartigen Anlage zur Haltung und öffentlichen Zurschaustellung verschiedener Tierarten befindet.
3261;Empfangsgebäude des Zoos;'Empfangsgebäude des Zoos' ist ein Gebäude, das sich im Eingangsbereich des Zoos befindet u. a. mit Wartebereich und Einlasskontrolle.
3262;Aquarium, Terrarium, Voliere;'Aquarium, Terrarium, Voliere' ist ein Gebäude, in dem Fische und Wasserpflanzen, Reptilien und Amphibien oder Vögel gehalten und gezüchtet werden.
3263;Tierschauhaus;'Tierschauhaus' ist ein Gebäude, in dem Tiere untergebracht sind und Besuchern gezeigt werden.
3264;Stall im Zoo;'Stall im Zoo' ist ein Gebäude, das meist zur separaten Unterbringung der Zootiere dient.
3270;Gebäude im botanischen Garten;'Gebäude im botanischen Garten' ist ein Gebäude, das sich in einer parkartigen Anlage mit thematisch geordneter Anpflanzung befindet.
3271;Empfangsgebäude des botanischen Gartens;'Empfangsgebäude des botanischen Gartens' ist ein Gebäude, das sich im Eingangsbereich des botanischen Gartens befindet u. a. mit Wartebereich und Einlasskontrolle.
3272;Gewächshaus (Botanik);'Gewächshaus (Botanik)' ist ein Gebäude, welches das geschützte und kontrollierte Kultivieren von Pflanzen ermöglicht.
3273;Pflanzenschauhaus;'Pflanzenschauhaus' ist ein Gebäude, in dem Pflanzen unterschiedlicher Klima- oder Vegetationszonen ausgestellt sind und Besuchern gezeigt werden.
3280;Gebäude für andere Erholungseinrichtung;'Gebäude für andere Erholungseinrichtung' ist ein Gebäude, das einer anderen Art der Erholung dient.
3281;Schutzhütte;'Schutzhütte' ist ein Gebäude zum Schutz vor Unwetter.
3290;Touristisches Informationszentrum;'Touristisches Informationszentrum' ist eine Auskunftsstelle für Touristen.
9998;Nach Quellenlage nicht zu spezifizieren;'Nach Quellenlage nicht zu spezifizieren' bedeutet, dass keine Aussage über die Werteart gemacht werden kann.
